Extract_GALa2_dry_vol,Plot
166.568572998,1086
181.179336548,1087
184.468753815,1088
179.677768707,1089
179.051071167,1090
183.894447327,1091
185.408046722,1092
183.624717712,1093
182.434326172,1094
183.528202057,1095
186.575157166,1096
188.993991852,1097
188.171833038,1098
185.437515259,1099
185.961780548,1100
168.242595673,1101
158.42048645,1102
164.362861633,1103
172.594120026,1104
166.126365662,1105
166.336605072,1106
176.384166718,1107
180.091087341,1108
176.754428864,1109
177.581851959,1110
183.084323883,1111
183.879657745,1112
181.095855713,1113
178.921146393,1114
179.410396576,1115
182.68378067,1116
186.078903198,1117
184.625167847,1118
181.759487152,1119
184.194179535,1120
167.695148468,1121
154.994812012,1122
158.274738312,1123
170.73103714,1124
167.271598816,1125
167.323379517,1126
180.244804382,1127
183.079574585,1128
179.720394135,1129
177.962310791,1130
178.551204681,1131
178.932941437,1132
179.367393494,1133
179.94934082,1134
180.722187042,1135
183.325340271,1136
184.333759308,1137
181.507102966,1138
179.254459381,1139
182.601337433,1140
165.899711609,1141
150.323307037,1142
155.302581787,1143
173.90202713,1144
175.147918701,1145
170.848640442,1146
179.089496613,1147
183.43655014,1148
182.487663269,1149
180.658317566,1150
178.958236694,1151
178.730903625,1152
180.420684814,1153
181.95217514,1154
182.870197296,1155
182.699436188,1156
181.335147858,1157
178.53534317,1158
178.393959045,1159
183.287395477,1160
164.480659485,1161
146.767429352,1162
156.173549652,1163
178.473022461,1164
181.37934494,1165
172.448825836,1166
173.828079224,1167
179.161899567,1168
181.728656769,1169
182.47240448,1170
181.922512054,1171
182.120521545,1172
183.952468872,1173
184.786315918,1174
183.258804321,1175
180.841850281,1176
178.578578949,1177
177.254508972,1178
179.671886444,1179
185.888412476,1180
163.748664856,1181
145.53691864,1182
153.795009613,1183
175.470256805,1184
171.047615051,1185
164.14214325,1186
171.868537903,1187
176.532150269,1188
178.636005402,1189
178.681343079,1190
179.805622101,1191
183.00687027,1192
185.831542969,1193
185.992149353,1194
183.175033569,1195
178.842617035,1196
177.278327942,1197
179.013698578,1198
182.020183563,1199
188.295482635,1200
160.974594116,1201
143.835613251,1202
154.037288666,1203
166.040485382,1204
158.14458847,1205
158.216621399,1206
170.017730713,1207
176.39081192,1208
176.923355103,1209
174.695812225,1210
175.573883057,1211
179.772296906,1212
182.542510986,1213
182.340068817,1214
178.186553955,1215
173.941020966,1216
174.285736084,1217
177.567230225,1218
182.02747345,1219
188.531124115,1220
156.065181732,1221
140.554477692,1222
149.106296539,1223
160.516338348,1224
151.853546143,1225
156.202190399,1226
171.289894104,1227
179.004695892,1228
178.965435028,1229
176.422878265,1230
176.330169678,1231
178.387863159,1232
180.245536804,1233
178.854846954,1234
175.392814636,1235
172.927074432,1236
175.196460724,1237
179.537338257,1238
183.360927582,1239
187.7576828,1240
151.558662415,1241
135.721260071,1242
139.24445343,1243
153.685310364,1244
151.278476715,1245
160.605068207,1246
174.426464081,1247
180.793460846,1248
183.118595123,1249
183.968078613,1250
183.482395172,1251
181.948326111,1252
181.468208313,1253
181.32169342,1254
180.022594452,1255
179.576904297,1256
182.599948883,1257
186.149528503,1258
188.272960663,1259
188.865264893,1260
148.076030731,1261
132.501667023,1262
134.991773605,1263
151.319583893,1264
153.292316437,1265
154.782840729,1266
168.451164246,1267
175.95677948,1268
181.09236145,1269
186.117084503,1270
186.89837265,1271
183.300029755,1272
181.601356506,1273
182.395042419,1274
183.475086212,1275
182.243267059,1276
183.147018433,1277
185.018882751,1278
188.163318634,1279
191.586936951,1280
146.912956238,1281
140.402786255,1282
144.982337952,1283
159.308990479,1284
161.08631897,1285
151.621452332,1286
161.876251221,1287
169.92842865,1288
176.830062866,1289
185.087089539,1290
186.728820801,1291
181.389198303,1292
178.757446289,1293
180.783813477,1294
182.903114319,1295
179.201980591,1296
175.412162781,1297
175.744918823,1298
182.009681702,1299
193.073699951,1300
138.341533661,1301
142.112365723,1302
144.567672729,1303
166.82126236,1304
173.059761047,1305
158.860042572,1306
155.767902374,1307
164.640968323,1308
173.173866272,1309
182.4972229,1310
184.123855591,1311
177.902896881,1312
174.652313232,1313
175.716896057,1314
176.280021667,1315
169.964805603,1316
161.263587952,1317
161.54209137,1318
175.759513855,1319
192.629211426,1320
111.504257202,1321
120.227661133,1322
125.393640518,1323
160.258453369,1324
177.536869049,1325
161.609039307,1326
149.986244202,1327
156.917102814,1328
167.102825165,1329
176.659549713,1330
177.70816803,1331
171.191345215,1332
167.449836731,1333
167.869907379,1334
168.00120163,1335
161.559898376,1336
156.024250031,1337
160.455036163,1338
178.642681122,1339
197.652053833,1340
