OID_,FID,X,Y,Extract_GALa2_dry_vol
452,451,-93.538779009999999,44.065221970000003,237.451526642000005
453,452,-93.538779009999999,44.065183370000000,239.586616515999992
454,453,-93.538779009999999,44.065144769999989,240.810230254999993
455,454,-93.538779009999999,44.065106169999993,242.144531250000000
456,455,-93.538779009999999,44.065067569999997,240.066974640000012
457,456,-93.538779009999999,44.065028970000000,237.407337189000003
458,457,-93.538779009999999,44.064990369999990,236.091415404999992
459,458,-93.538779009999999,44.064951769999986,235.439193726000013
460,459,-93.538779009999999,44.064913169999997,232.855022429999991
461,460,-93.538740410000003,44.065646569999991,149.851696013999998
462,461,-93.538740410000003,44.065607969999988,147.758571625000002
463,462,-93.538740410000003,44.065569369999992,154.566085815000008
464,463,-93.538740410000003,44.065530769999995,170.578823089999986
465,464,-93.538740410000003,44.065492169999999,182.137306212999988
466,465,-93.538740410000003,44.065453569999981,203.822937012000011
467,466,-93.538740410000003,44.065414969999992,221.890350342000005
468,467,-93.538740410000003,44.065376369999996,228.154045104999994
469,468,-93.538740410000003,44.065337769999999,230.517406464000004
470,469,-93.538740410000003,44.065299169999989,233.118858337000006
471,470,-93.538740410000003,44.065260569999992,237.352394104000012
472,471,-93.538740410000003,44.065221970000003,242.036560059000010
473,472,-93.538740410000003,44.065183370000000,243.905853271000012
474,473,-93.538740410000003,44.065144769999989,244.202445984000008
475,474,-93.538740410000003,44.065106169999993,243.072921753000003
476,475,-93.538740410000003,44.065067569999997,240.503086090000011
477,476,-93.538740410000003,44.065028970000000,238.202327728000000
