OID_,FID,X,Y,Extract_GALa2_moist
268,267,-93.539126409999980,44.065376369999996,17.937688827999999
269,268,-93.539126409999980,44.065337769999999,17.868439674000001
270,269,-93.539126409999980,44.065299169999989,17.772618771000001
271,270,-93.539126409999980,44.065260569999992,17.682934284000002
272,271,-93.539126409999980,44.065221970000003,17.640231609000001
273,272,-93.539126409999980,44.065183370000000,17.638114929000000
274,273,-93.539126409999980,44.065144769999989,17.631505013000002
275,274,-93.539126409999980,44.065106169999993,17.602619171000001
276,275,-93.539126409999980,44.065067569999997,17.585195065000001
277,276,-93.539126409999980,44.065028970000000,17.582880497000001
278,277,-93.539126409999980,44.064990369999990,17.592766285000000
279,278,-93.539126409999980,44.064951769999986,17.602933406999998
280,279,-93.539126409999980,44.064913169999997,17.642458438999999
281,280,-93.539087809999970,44.065646569999991,17.142222404000002
282,281,-93.539087809999970,44.065607969999988,17.287139415999999
283,282,-93.539087809999970,44.065569369999992,17.691934585999999
284,283,-93.539087809999970,44.065530769999995,17.961833476999999
285,284,-93.539087809999970,44.065492169999999,17.921808720000001
286,285,-93.539087809999970,44.065453569999981,17.743659018999999
287,286,-93.539087809999970,44.065414969999992,17.652836322999999
288,287,-93.539087809999970,44.065376369999996,17.587844849000000
289,288,-93.539087809999970,44.065337769999999,17.499866485999998
290,289,-93.539087809999970,44.065299169999989,17.401649952000000
291,290,-93.539087809999970,44.065260569999992,17.331301212000000
292,291,-93.539087809999970,44.065221970000003,17.288343906000001
293,292,-93.539087809999970,44.065183370000000,17.257918358000001
294,293,-93.539087809999970,44.065144769999989,17.187128544000000
295,294,-93.539087809999970,44.065106169999993,17.118793488000001
296,295,-93.539087809999970,44.065067569999997,17.094856262000000
