,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
92,Plot1085,2021,6082021,98.383,122.21,98.058,106.8173989,0.108830221,0.1080134,0.194450565,0.802372965,47.979,0.04872478,0.047296886,47.93027522,0.213535504,0.215113949,1.24218615,1.243555618,2,29,196.4425064
93,Plot1086,2021,6082021,98.245,121.91,97.143,106.3812179,0.110271215,0.107492449,0.192379605,0.796841933,48.432,0.049269141,0.044406835,48.38273086,0.212529201,0.21790806,1.240877398,1.245547296,2,30,162.4446509
94,Plot1087,2021,6082021,91.547,114.66,90.219,99.44384809,0.115678958,0.112086399,0.199270614,0.786839351,47.554,0.04556213,0.039290076,47.50843787,0.221391377,0.228328152,1.252471408,1.258580719,2,31,154.8095938
95,Plot1088,2021,6082021,98.182,120.27,96.438,105.5222976,0.105524405,0.101111457,0.181028407,0.801845847,45.92,0.054573978,0.046820159,45.86542602,0.200176405,0.20876298,1.224969954,1.232302705,2,32,130.4132551
96,Plot109,2021,6082021,85.882,110.7,80.673,93.3422749,0.141369489,0.126247571,0.214116246,0.728753388,54.845,0.034390002,0.00808714,54.81061,0.248533897,0.277650704,1.2889779,1.316116682,32,13,175.3371759
97,Plot1091,2021,6082021,102.57,122.96,88.098,105.5162296,0.126554097,0.090409258,0.148364282,0.716476903,55.252,0.065804074,0.001202699,55.18619593,0.179352519,0.251825945,1.19879107,1.261071129,1,3,203.963605
98,Plot1092,2021,6082021,93.524,114.45,84.156,98.19669616,0.125977667,0.100618347,0.169006122,0.735307995,51.22,0.056425564,0.011530483,51.16357444,0.199219782,0.249324954,1.223750053,1.2675257,1,4,235.3957062
99,Plot1093,2021,6082021,95.308,115.88,86.947,100.1192124,0.119572962,0.097410838,0.16558141,0.750319296,49.505,0.058869975,0.019607896,49.44613002,0.192990414,0.236769463,1.215847568,1.253595497,1,5,252.0167
100,Plot1094,2021,6082021,87.957,109.3,81.182,93.58319111,0.127562613,0.108198949,0.183872496,0.742744739,49.461,0.049704962,0.01564005,49.41129504,0.213893839,0.251792372,1.24265266,1.276267482,1,6,246.012749
101,Plot1095,2021,6082021,86.067,107.07,78.833,91.44425493,0.129907134,0.108746641,0.183746851,0.736275334,49.24,0.04935765,0.012119719,49.19064235,0.214951304,0.256402516,1.244030813,1.280937574,1,7,237.4773303
102,Plot1096,2021,6082021,88.665,108.86,80.416,93.41433666,0.125746831,0.102240223,0.172446183,0.73871027,48.639,0.054943315,0.01339277,48.58405668,0.20236511,0.248697032,1.227767439,1.268348381,1,8,246.0794355
103,Plot1097,2021,6082021,87.446,107.71,79.435,92.30053492,0.126965402,0.103834881,0.175110827,0.737489555,48.539,0.053586607,0.012742588,48.48541339,0.205454615,0.250983507,1.231731583,1.271778614,1,9,245.9537098
104,Plot1098,2021,6082021,89.309,110.18,82.411,94.70533741,0.124056315,0.10462231,0.178265772,0.747966963,48.64,0.052687478,0.01842994,48.58731252,0.206979063,0.245111165,1.233694253,1.267163298,1,10,244.7760573
105,Plot1099,2021,6082021,90.716,111.15,82.459,95.53917493,0.124217713,0.101225565,0.171128996,0.741871345,49.125,0.055754506,0.015097512,49.06924549,0.200397733,0.24572988,1.225252436,1.264815082,1,11,243.4763075
106,Plot11,2021,6082021,86.861,109.56,80.506,93.14763006,0.133906186,0.115563,0.195824527,0.734811975,51.753,0.043496662,0.011369061,51.70950334,0.228080035,0.263766188,1.261325566,1.293644834,35,11,213.8725292
107,Plot110,2021,6082021,90.946,114.68,85.155,97.76511195,0.131354187,0.115423147,0.197010069,0.742544472,53.259,0.043484272,0.015602808,53.21551573,0.227811277,0.258757343,1.260968047,1.288899456,32,14,192.9990351
108,Plot1100,2021,6082021,90.392,111.55,84.268,96.11661665,0.121781979,0.104772657,0.179801825,0.755428059,48.44,0.052404878,0.022449251,48.38759512,0.207270047,0.240584037,1.234069387,1.263238033,1,12,244.4194131
109,Plot1101,2021,6082021,91.849,114.16,84.286,97.59247614,0.129025479,0.108301094,0.183293215,0.738314646,52.185,0.049703233,0.013229301,52.13529677,0.214091086,0.254688445,1.242909558,1.278988828,1,13,232.4067082
110,Plot1102,2021,6082021,95.297,117.2,86.936,100.6234338,0.125210917,0.103074396,0.174441108,0.741774744,52.167,0.05415502,0.015063136,52.11284498,0.203981624,0.247545705,1.229839344,1.268026358,1,14,221.4285861
111,Plot1103,2021,6082021,92.178,113.42,84.827,97.5645086,0.123401305,0.103318126,0.175886595,0.747901605,49.835,0.053814926,0.018379272,49.78118507,0.204453782,0.243912633,1.230445443,1.264973387,1,15,223.3311934
112,Plot1104,2021,6082021,94.49,114.16,87.503,99.36069093,0.112906488,0.094272705,0.16236473,0.766494394,46.327,0.06120485,0.028175301,46.26579515,0.186884504,0.223671296,1.208170177,1.239475535,1,16,227.7082362
113,Plot1105,2021,6082021,103.33,122.73,95.318,107.7423824,0.105406793,0.085817924,0.14838384,0.776647926,46.812,0.068243626,0.033341423,46.74375637,0.170381041,0.209275565,1.187747992,1.220102893,1,17,233.7072074
114,Plot1106,2021,6082021,99.591,121.3,95.593,106.0975635,0.10830912,0.098279242,0.173258951,0.788070899,47.416,0.057277461,0.039591891,47.35872254,0.194678125,0.214306783,1.217981545,1.234713255,1,18,227.7227352
